X	Y	INTENSITY	LAMBDA1	LAMBDA2	V1X	V1Y	V2X	V2Y
41.6667	27.3333	3	3790.36	822.162	0.549876	0.835246	0.835246	-0.549876
38.6667	26.3333	7	2814.42	766.996	0.228586	0.973524	0.973524	-0.228586
39.3333	34	2	1315.41	257.394	0.2122	0.977226	0.977226	-0.2122
36.6667	32.6667	3	3361.94	883.591	0.438868	0.898551	0.898551	-0.438868
42.3333	31.3333	1	2296.62	804.646	0.61333	0.789827	0.789827	-0.61333
38.3333	38	6	2620.59	235.212	0.0439201	0.999035	0.999035	-0.0439201
43.3333	24.6667	3	4041.34	708.808	0.584669	0.811272	0.811272	-0.584669
38	23.3333	11	5276.04	824.47	0.0698973	0.997554	0.997554	-0.0698973
39.3333	22	7	6719.18	516.438	0.0640486	0.997947	0.997947	-0.0640486
33.6667	37.6667	6	3623.6	1155.8	0.0424302	0.999099	0.999099	-0.0424302
46	21	6	2440.93	345.009	0.14151	0.989937	0.989937	-0.14151
31.3333	22.6667	10	8440.21	847.281	0.0900361	0.995938	0.995938	-0.0900361
46	10	0	0	0	1	0	0	1
50	8	0	0	0	1	0	0	1
51.6667	16.3333	0	2553.73	364.12	0.200482	-0.979697	-0.979697	-0.200482
50.3333	14	0	1844.63	222.602	0.160524	-0.987032	-0.987032	-0.160524
49.6667	19.6667	7	3290.2	416.663	0.21979	-0.975547	-0.975547	-0.21979
47.3333	19.6667	7	3395.38	381.788	0.0988955	-0.995098	-0.995098	-0.0988955
50	2	0	0	0	1	0	0	1
47.3333	16.3333	0	2685.39	302.776	0.0464306	-0.998922	-0.998922	-0.0464306
56	2	0	0	0	1	0	0	1
58	4	0	0	0	1	0	0	1
52	4	0	0	0	1	0	0	1
57.3333	13.6667	0	1902.62	58.77	0.192588	0.98128	0.98128	-0.192588
56	8	0	0	0	1	0	0	1
61	16.3333	0	3858.24	229.102	0.216867	0.976201	0.976201	-0.216867
53.6667	16.6667	0	1590.45	591.983	0.152166	0.988355	0.988355	-0.152166
62	2	0	0	0	1	0	0	1
52	10	0	0	0	1	0	0	1
55.6667	16	0	2928.7	364.501	0.272229	0.962232	0.962232	-0.272229
48.6667	24.3333	0	4928.31	918.586	0.0137929	-0.999905	-0.999905	-0.0137929
45.6667	25	3	4889.47	937.978	0.489226	0.872157	0.872157	-0.489226
46.6667	27.3333	9	6276.71	910.673	0.446685	0.894691	0.894691	-0.446685
48.6667	26.6667	13	6499.27	994.55	0.170047	0.985436	0.985436	-0.170047
50.6667	27	9	4878.06	1178.05	0.0541979	-0.99853	-0.99853	-0.0541979
45.3333	34.3333	0	2819.81	178.899	0.30897	0.951072	0.951072	-0.30897
50.3333	23.6667	2	4660.56	580.514	0.18461	-0.982812	-0.982812	-0.18461
46.6667	23	1	4032.95	544.387	0.253356	0.967373	0.967373	-0.253356
56.3333	20.3333	3	5270.92	936.956	0.379199	0.925315	0.925315	-0.379199
57.3333	18.6667	10	4879.64	532.04	0.259439	0.96576	0.96576	-0.259439
57	24.3333	5	2878.86	1399.36	0.207315	0.978274	0.978274	-0.207315
53	21.3333	9	4560	1154.71	0.188282	0.982115	0.982115	-0.188282
53.3333	23.6667	2	4639.65	1499.06	0.124506	0.992219	0.992219	-0.124506
57.6667	28	5	1618.75	587.799	0.373625	-0.92758	-0.92758	-0.373625
52.6667	29.3333	7	3562.01	834.457	0.186348	0.982484	0.982484	-0.186348
52	25	2	4896.22	830.469	0.245876	-0.969301	-0.969301	-0.245876
58	38	1	2574.15	294.281	0.248007	0.968758	0.968758	-0.248007
50.6667	21.3333	3	3271.03	475.112	0.121143	-0.992635	-0.992635	-0.121143
54	20	5	3829.97	1110.04	0.367674	0.929955	0.929955	-0.367674
45	31	2	3866.9	731.934	0.523736	0.85188	0.85188	-0.523736
59	22.3333	3	4276.09	845.984	0.352849	0.93568	0.93568	-0.352849
46	4	0	0	0	1	0	0	1
50.3333	33.3333	2	3344.99	215.852	0.315358	0.948973	0.948973	-0.315358
34	44.6667	10	3248.35	1888.27	0.022436	-0.999748	-0.999748	-0.022436
35	43.3333	6	4252.98	560.344	0.225257	0.974299	0.974299	-0.225257
33.6667	53.3333	0	5060.98	933.95	0.263259	-0.964725	-0.964725	-0.263259
36	47	11	4556.71	846.762	0.715643	-0.698466	-0.698466	-0.715643
37	52.6667	0	7429.47	2148.49	0.192906	0.981217	0.981217	-0.192906
33.6667	50	3	4500.88	1261.78	0.549267	-0.835647	-0.835647	-0.549267
35.6667	45.3333	7	3608.38	1410.51	0.518641	-0.854992	-0.854992	-0.518641
32	56.3333	10	5021.14	926.021	0.220043	-0.97549	-0.97549	-0.220043
39	43.3333	6	3191.23	953.254	0.154197	-0.98804	-0.98804	-0.154197
40.3333	40	1	2568.09	426.684	0.0131512	-0.999914	-0.999914	-0.0131512
39.3333	50.3333	7	6160.65	2436.15	0.596286	0.802772	0.802772	-0.596286
40.3333	45.6667	3	2545.25	1173.64	0.999576	0.0291239	0.0291239	-0.999576
41.6667	55	19	12374.8	1061.43	0.446614	0.894727	0.894727	-0.446614
38.3333	48	13	3359.7	1294.88	0.946117	-0.323826	-0.323826	-0.946117
42	51	3	9051.87	1388.49	0.480114	0.877206	0.877206	-0.480114
36.6667	44	6	3841.12	854.476	0.0448064	-0.998996	-0.998996	-0.0448064
35.3333	40.6667	1	3603.72	519.517	0.2462	0.969219	0.969219	-0.2462
38.6667	55	9	10471	1318.68	0.27039	0.962751	0.962751	-0.27039
31.6667	61.3333	11	6489.04	649.085	0.0764829	-0.997071	-0.997071	-0.0764829
33	57.6667	14	7879.4	1000.96	0.15632	-0.987706	-0.987706	-0.15632
32.6667	65.3333	10	3602.31	744.898	0.0951903	0.995459	0.995459	-0.0951903
33.6667	63	5	6139.06	576.698	0.10212	-0.994772	-0.994772	-0.10212
32.3333	67.6667	1	3988.65	512.361	0.414355	0.910115	0.910115	-0.414355
30	64.6667	13	3587.45	1835.74	0.25837	0.966046	0.966046	-0.25837
35.6667	61.6667	1	7560.04	876.935	0.176546	-0.984292	-0.984292	-0.176546
31.6667	59.3333	7	6058.43	1117.37	0.080096	-0.996787	-0.996787	-0.080096
41	57.3333	7	14829	698.474	0.170853	0.985296	0.985296	-0.170853
35	58.3333	15	9749.99	813.933	0.19501	-0.980801	-0.980801	-0.19501
42	56.6667	5	13155.8	1277.73	0.284947	0.958543	0.958543	-0.284947
41.3333	59	21	14531.2	589.285	0.0946976	0.995506	0.995506	-0.0946976
39	62.3333	6	8834.45	1332.79	0.26126	-0.965268	-0.965268	-0.26126
38.6667	59.3333	17	12505.8	2359.92	0.197402	-0.980323	-0.980323	-0.197402
40.3333	59.6667	17	13046.8	1987.85	0.106115	-0.994354	-0.994354	-0.106115
37.3333	62	2	8678.02	1320.25	0.398337	-0.917239	-0.917239	-0.398337
42.6667	59	19	11734.9	1224.13	0.038551	0.999257	0.999257	-0.038551
37	58	9	10196.8	1318.7	0.0758861	-0.997117	-0.997117	-0.0758861
38.3333	56.6667	6	11109.4	981.97	0.118246	0.992984	0.992984	-0.118246
40.6667	65	3	4322.76	619.009	0.0792444	-0.996855	-0.996855	-0.0792444
42.6667	45.6667	5	3829.16	1668.05	0.554326	0.8323	0.8323	-0.554326
31.3333	45.3333	5	2757.94	1740.68	0.0930642	-0.99566	-0.99566	-0.0930642
45.3333	44	6	4541.87	620.834	0.219609	0.975588	0.975588	-0.219609
43.3333	48	6	6382.11	2882.23	0.036012	-0.999351	-0.999351	-0.036012
43	52.6667	10	10468.2	1258.88	0.459463	0.888197	0.888197	-0.459463
45	49.6667	0	9074.65	1467.81	0.00992709	0.999951	0.999951	-0.00992709
45	52.3333	14	6558.33	2537.75	0.341721	0.939801	0.939801	-0.341721
42.6667	54.3333	15	11480.9	1240.79	0.552196	0.833714	0.833714	-0.552196
45.3333	48	15	8634.21	1531.18	0.0139304	-0.999903	-0.999903	-0.0139304
45.6667	41.3333	6	2124.3	425.585	0.152462	0.988309	0.988309	-0.152462
51.3333	44.3333	5	2623.38	378.892	0.244588	0.969627	0.969627	-0.244588
49.6667	41.3333	7	2056.8	207.521	0.1265	0.991967	0.991967	-0.1265
58.3333	43.3333	3	2803.57	1065.49	0.14128	0.98997	0.98997	-0.14128
54.3333	45	5	2308.11	1206.71	0.327181	0.944962	0.944962	-0.327181
48.3333	49.3333	6	4891.26	1567.25	0.0995038	0.995037	0.995037	-0.0995038
49	46.6667	7	4922.01	413.044	0.217281	0.976109	0.976109	-0.217281
50.6667	51	9	2734.16	1458.53	0.00912972	0.999958	0.999958	-0.00912972
46	50.6667	6	7215.97	1494.47	0.13898	0.990295	0.990295	-0.13898
46.3333	54.3333	5	4778.08	2329.33	0.568866	0.82243	0.82243	-0.568866
47	46.3333	9	6768.4	441.504	0.200061	0.979783	0.979783	-0.200061
52.3333	37.6667	7	1201.23	287.731	0.143413	0.989663	0.989663	-0.143413
54.3333	49	7	2457.92	1123.85	0.359052	0.933318	0.933318	-0.359052
44.3333	56	3	9016.66	1339.94	0.651339	0.758787	0.758787	-0.651339
46	56.3333	7	6382.49	990.773	0.689097	0.724669	0.724669	-0.689097
44.6667	59	9	6775.9	2387.07	0.578332	0.815801	0.815801	-0.578332
44.3333	57.3333	7	8510.1	2120.02	0.52148	0.853264	0.853264	-0.52148
46.6667	61	1	5754.63	1052.71	0.682373	0.731004	0.731004	-0.682373
43.3333	60	17	7195.72	2506.75	0.124868	0.992173	0.992173	-0.124868
48	59.6667	3	4710.86	580.288	0.626037	0.779793	0.779793	-0.626037
43	57.3333	6	12092.3	1900.23	0.252171	0.967683	0.967683	-0.252171
55.6667	58.3333	0	2437.83	390.245	0.625744	0.780029	0.780029	-0.625744
58.6667	55.3333	3	1335.55	294.907	0.635002	0.772511	0.772511	-0.635002
57	62.6667	9	3652.79	923.361	0.282213	0.959352	0.959352	-0.282213
50.6667	60.3333	10	3587.69	399.426	0.538	0.842945	0.842945	-0.538
