X	Y	INTENSITY	LAMBDA1	LAMBDA2	V1X	V1Y	V2X	V2Y
142.333	343.333	14	5436.34	2230.27	0.954536	0.298096	0.298096	-0.954536
142.333	335	13	7514.57	4327.25	0.987751	0.156039	0.156039	-0.987751
139	344	10	8907.63	4895.56	0.0998701	0.995	0.995	-0.0998701
147	331	26	19783	6742.89	0.511894	0.859049	0.859049	-0.511894
147	329	11	22103.7	3603.13	0.329333	0.944214	0.944214	-0.329333
148	332.333	31	13024.7	5230.1	0.0297588	0.999557	0.999557	-0.0297588
150	331.667	31	13703	4510.36	0.0364729	-0.999335	-0.999335	-0.0364729
147.333	339.333	19	5370.97	1988.87	0.267603	-0.963529	-0.963529	-0.267603
146.333	335.333	18	5929.62	3791.44	0.994893	0.100933	0.100933	-0.994893
150.667	329	16	12923.7	4239.74	0.0270752	0.999633	0.999633	-0.0270752
142.667	332.333	9	10515.5	4198.17	0.987248	0.159188	0.159188	-0.987248
144.667	331	13	17383.9	4529.62	0.904989	0.425434	0.425434	-0.904989
150.667	338.333	23	9262.3	1388.59	0.510662	-0.859782	-0.859782	-0.510662
143.667	347.667	9	5571.74	739.069	0.0665739	0.997782	0.997782	-0.0665739
145	346.333	6	6476.12	1113.52	0.0267784	-0.999641	-0.999641	-0.0267784
142.667	352	19	10146.1	3427.86	0.948453	-0.316918	-0.316918	-0.948453
139.333	351.667	32	14456.8	3969.26	0.73123	-0.682131	-0.682131	-0.73123
145	349.667	17	5414.02	1420.39	0.112236	0.993682	0.993682	-0.112236
143	355.333	17	12657.7	991.33	0.9825	-0.18626	-0.18626	-0.9825
147	350	14	5687.74	1183.5	0.366565	0.930393	0.930393	-0.366565
140.333	348.667	15	9536.67	1186.53	0.318375	-0.947965	-0.947965	-0.318375
148.667	346	13	7142.21	1548.62	0.427809	-0.903869	-0.903869	-0.427809
146.667	343	20	6617.91	1915.89	0.30698	-0.951716	-0.951716	-0.30698
151.333	347	19	4767.44	1966.58	0.877283	-0.479973	-0.479973	-0.877283
148.333	348.667	14	5450.89	1492.72	0.199286	0.979941	0.979941	-0.199286
150	351.667	3	6685.62	721.555	0.359442	0.933168	0.933168	-0.359442
150.333	350	10	5854.67	1612.54	0.383318	0.923616	0.923616	-0.383318
150.667	354.667	13	4135.16	906.347	0.351523	0.936179	0.936179	-0.351523
148	351.667	6	5226.09	1217.79	0.461921	0.886921	0.886921	-0.461921
152.333	349.333	18	4408.74	2343.66	0.846815	0.531887	0.531887	-0.846815
147.667	347	10	6620.95	1564.67	0.156662	-0.987652	-0.987652	-0.156662
144.333	344.667	10	6296.32	1416.05	0.206208	-0.978508	-0.978508	-0.206208
146.333	354.667	14	4607.94	1874.16	0.986866	0.161541	0.161541	-0.986866
151.667	333.667	19	9423.62	3547.04	0.697279	-0.7168	-0.7168	-0.697279
139.333	336	6	16094.2	2905.73	0.613327	0.789829	0.789829	-0.613327
159.667	335.667	27	15353.3	1752.32	0.53269	0.84631	0.84631	-0.53269
155.667	333.667	2	12339.6	4536.6	0.292936	0.956132	0.956132	-0.292936
156.667	337.333	20	12843	4327.34	0.293684	0.955903	0.955903	-0.293684
154	332	10	8037.6	3335.52	0.852952	-0.52199	-0.52199	-0.852952
159.333	338	26	12466.6	1119.28	0.43026	0.902705	0.902705	-0.43026
156.333	339.667	26	6253.63	4391.6	0.382806	0.923829	0.923829	-0.382806
161.667	331.333	20	9143.56	5972.35	0.995894	0.0905297	0.0905297	-0.995894
157.667	332.667	5	15742.2	1585.72	0.557302	0.83031	0.83031	-0.557302
166	331.667	17	11329.7	3379.71	0.840707	0.541491	0.541491	-0.840707
162	329.333	23	10765.9	3424.36	0.953751	-0.300597	-0.300597	-0.953751
167	339	20	5741.56	1428.03	0.978955	0.204074	0.204074	-0.978955
164.333	333.333	19	4710.24	2629.3	0.54889	-0.835895	-0.835895	-0.54889
163.333	336.667	26	3445.7	1648.36	0.618664	-0.785655	-0.785655	-0.618664
161.667	335.333	27	6365.5	2213.79	0.659488	0.751715	0.751715	-0.659488
164.667	335.333	19	4501.3	1284.95	0.888928	-0.458046	-0.458046	-0.888928
161	339.667	18	3434.87	1854.79	0.816997	0.576642	0.576642	-0.816997
166.667	335.333	14	3633.15	2393.92	0.907128	-0.420855	-0.420855	-0.907128
162.333	333	19	7406.82	3276.62	0.517856	0.855468	0.855468	-0.517856
166.667	329.667	22	18955.6	3095.96	0.893878	0.448309	0.448309	-0.893878
163	338.667	26	3724.32	1599.86	0.974673	-0.223636	-0.223636	-0.974673
158.333	342.667	11	9375.75	614.56	0.769168	0.639047	0.639047	-0.769168
160.333	342	14	7075.19	1143.96	0.894029	0.44801	0.44801	-0.894029
158.667	352	10	4525.16	1609.25	0.923101	0.384557	0.384557	-0.923101
157	345.333	9	9502.08	1008.82	0.858449	0.5129	0.5129	-0.858449
159	347	18	6368.38	4639.92	0.748998	0.662573	0.662573	-0.748998
155	352	13	3776.68	2217.02	0.696047	0.717997	0.717997	-0.696047
162.667	343.333	24	6952.98	898.997	0.974372	0.224944	0.224944	-0.974372
153.333	345.333	20	5501.4	3402.95	0.870348	0.492437	0.492437	-0.870348
167.667	344	17	3235.18	1548.43	0.986191	-0.165614	-0.165614	-0.986191
162.667	345.667	27	5468.28	4652.25	0.552743	0.833352	0.833352	-0.552743
167.667	342.333	14	4372.72	1825	0.994826	0.101597	0.101597	-0.994826
165	346	24	4942.9	2588.45	0.358706	-0.933451	-0.933451	-0.358706
163.667	350.333	17	8794.48	2264.08	0.0359283	0.999354	0.999354	-0.0359283
165	348.333	19	8234.59	1682.26	0.0695672	-0.997577	-0.997577	-0.0695672
161	355	18	6767.86	2819.03	0.333876	-0.942617	-0.942617	-0.333876
160	349.333	13	5511.14	4049.69	0.272167	0.96225	0.96225	-0.272167
167.667	349	11	5961.63	1516.9	0.211486	0.977381	0.977381	-0.211486
165	342	23	5890.63	786.271	0.990488	0.137597	0.137597	-0.990488
164.667	339.667	27	5805.19	1273.4	0.992854	0.119336	0.119336	-0.992854
165.333	353.667	27	6152.96	2052.97	0.202493	0.979284	0.979284	-0.202493
167.667	333	9	11388.7	2076.81	0.845965	0.533239	0.533239	-0.845965
153	341.333	23	7039.4	4412.44	0.525565	-0.850754	-0.850754	-0.525565
159	330.667	3	9291.76	3942.24	0.984157	0.177299	0.177299	-0.984157
153.667	355.667	9	3229.69	1113.15	0.199269	0.979945	0.979945	-0.199269
168.333	321.667	17	6557.72	3015.08	0.613365	-0.7898	-0.7898	-0.613365
139.667	358	37	12057.5	5532.96	0.993879	-0.110473	-0.110473	-0.993879
172.667	307.333	11	15214.3	952.49	0.23852	0.971138	0.971138	-0.23852
171.333	304.667	27	17415.7	1826.96	0.399175	0.916875	0.916875	-0.399175
175.333	312.667	11	5632.34	3878.48	0.528795	-0.84875	-0.84875	-0.528795
174.333	308.667	2	12503.8	896.588	0.280937	0.959726	0.959726	-0.280937
175.333	311	11	5641	1644.96	0.526834	0.849968	0.849968	-0.526834
174.333	313.667	10	7754.84	1653.57	0.399347	-0.9168	-0.9168	-0.399347
176	307.333	5	14882.1	2517.83	0.0954874	0.995431	0.995431	-0.0954874
171.333	312.667	3	8124.76	976.29	0.219364	0.975643	0.975643	-0.219364
177.333	311	13	5831.14	2124.22	0.700821	0.713338	0.713338	-0.700821
180.333	311.333	2	11436	4168.02	0.884	0.467488	0.467488	-0.884
179	313.667	9	11954.2	6263.9	0.637488	0.77046	0.77046	-0.637488
178.667	312	3	10962.1	2195.16	0.729787	0.683675	0.683675	-0.729787
180.667	313	14	12212.4	8452.37	0.909058	0.416671	0.416671	-0.909058
177.667	314.333	1	9949.48	5291.56	0.652012	-0.758209	-0.758209	-0.652012
179.333	307.667	9	14341	2542.59	0.2872	-0.957871	-0.957871	-0.2872
177.667	308.667	6	7588.42	2680.5	0.397433	-0.917631	-0.917631	-0.397433
176.333	304.333	26	13177.7	2638.96	0.00786132	0.999969	0.999969	-0.00786132
178.333	316.333	7	14140.5	10938.7	0.970267	0.242037	0.242037	-0.970267
172.667	321.333	28	13643.1	2905.29	0.787406	0.616435	0.616435	-0.787406
172	318	27	9815.65	3980.9	0.694131	0.719849	0.719849	-0.694131
171.333	326.333	10	17143.7	2032.1	0.739317	0.673357	0.673357	-0.739317
170.667	323.667	20	15692.2	3024.81	0.812397	0.583105	0.583105	-0.812397
173.667	328	3	12223.4	1143.09	0.57355	0.819171	0.819171	-0.57355
170.667	330.667	10	11707.7	1342.3	0.779984	0.625799	0.625799	-0.779984
171.333	320	31	7998.19	2726.74	0.98583	0.167746	0.167746	-0.98583
168.333	324	24	8352.47	5707.91	0.868776	0.495205	0.495205	-0.868776
175	316.667	22	7244.42	6034.73	0.0618932	-0.998083	-0.998083	-0.0618932
176.667	317.667	18	16876.2	6343.57	0.877995	0.478669	0.478669	-0.877995
177.333	320	11	26114.4	6262.39	0.979494	0.201472	0.201472	-0.979494
175.333	321.333	14	21810.6	6417.17	0.970385	0.241564	0.241564	-0.970385
178	325.333	7	18904.3	13316.2	0.486358	-0.87376	-0.87376	-0.486358
175.667	325.333	1	17651.1	6936	0.980192	0.198052	0.198052	-0.980192
179	321.333	31	23834.5	19680.2	0.879696	0.475537	0.475537	-0.879696
178.667	328	13	20028.9	4909.79	0.195437	0.980716	0.980716	-0.195437
180.667	321	41	39207.4	10586.2	0.573328	0.819326	0.819326	-0.573328
173.667	317	21	10828.5	2999.92	0.434498	0.900673	0.900673	-0.434498
173	314	9	8995.79	961.919	0.113324	0.993558	0.993558	-0.113324
173.333	331	13	4634.99	912.213	0.35524	0.934775	0.934775	-0.35524
180.333	317	13	35295.6	9126.55	0.548484	0.836161	0.836161	-0.548484
170.667	307.667	11	7517.96	1304.93	0.0166315	-0.999862	-0.999862	-0.0166315
182.333	308.667	10	12473.4	7814.48	0.336931	0.941529	0.941529	-0.336931
182.667	306.333	22	14302.9	6084.53	0.117479	-0.993075	-0.993075	-0.117479
182.667	313	15	27180.8	9148.83	0.432188	0.901784	0.901784	-0.432188
183.333	310	17	10635.4	7160.42	0.999311	-0.0371224	-0.0371224	-0.999311
184	314.333	13	35592.7	7023.16	0.236067	0.971737	0.971737	-0.236067
181.333	314.333	19	27712.7	9318.03	0.465335	0.885135	0.885135	-0.465335
185	309.667	29	14983.7	6949.68	0.863921	0.503627	0.503627	-0.863921
181.333	319	40	52344.3	4915.09	0.624749	0.780825	0.780825	-0.624749
187.667	308	23	25831.4	4111.14	0.550046	0.835135	0.835135	-0.550046
185	306.667	17	12082.1	4522.63	0.675334	0.737512	0.737512	-0.675334
189.333	310.333	3	180995	7017.7	0.738744	0.673986	0.673986	-0.738744
185.667	312	15	17721.4	10690.5	0.118119	0.992999	0.992999	-0.118119
186.667	317.333	15	106011	14827.1	0.987604	0.156969	0.156969	-0.987604
184.333	316.667	35	41894.6	12232.8	0.531107	0.847305	0.847305	-0.531107
188	313	3	175557	9870.61	0.743778	0.668426	0.668426	-0.743778
188.667	316	51	234841	31501.6	0.861798	0.507251	0.507251	-0.861798
191.333	311.667	40	295023	17162.8	0.637247	0.770659	0.770659	-0.637247
185.667	308.333	26	19064.3	1815.24	0.783541	0.62134	0.62134	-0.783541
180	305.333	24	14786.3	1352.7	0.265116	-0.964217	-0.964217	-0.265116
183.333	318.667	44	54316.6	7959.18	0.68233	0.731044	0.731044	-0.68233
182.333	325.333	7	38467.9	9549.16	0.442028	0.897001	0.897001	-0.442028
185	322.333	7	92099.1	5861.07	0.884797	0.465977	0.465977	-0.884797
181	330.667	31	19089.6	5230.93	0.241647	0.970364	0.970364	-0.241647
180.667	327.333	11	28575.5	4912.28	0.214712	0.976677	0.976677	-0.214712
184	327.667	15	30215.5	12674.8	0.548506	0.836147	0.836147	-0.548506
179	331.333	19	10527.9	5243.52	0.230493	0.973074	0.973074	-0.230493
186	327.667	14	25536.1	12210.6	0.784754	0.619808	0.619808	-0.784754
182.667	322.667	14	47864.6	9940.7	0.614977	0.788545	0.788545	-0.614977
188.333	322	49	146196	36656.6	0.983438	0.181245	0.181245	-0.983438
185	320.333	20	88766.2	6198.64	0.91416	0.405355	0.405355	-0.91416
190.667	317	107	244255	75105.8	0.887034	0.461703	0.461703	-0.887034
191	320.667	85	125432	99697.3	0.772052	-0.635559	-0.635559	-0.772052
189.667	326.333	32	103543	6410.08	0.0968675	-0.995297	-0.995297	-0.0968675
187.333	326	30	42113.8	19561.7	0.122551	0.992462	0.992462	-0.122551
190	323	75	103296	92206.7	0.00346781	-0.999994	-0.999994	-0.00346781
191.333	330	7	12580.3	4783.92	0.995375	0.0960705	0.0960705	-0.995375
193	321.667	91	117627	27696.6	0.287447	-0.957797	-0.957797	-0.287447
187	323.667	41	78182.6	35020.8	0.864498	0.502637	0.502637	-0.864498
187	319.667	17	160142	5441.2	0.978185	0.207735	0.207735	-0.978185
186	330.667	27	19848.6	11002.3	0.291608	0.956538	0.956538	-0.291608
192	315.333	116	296880	65739.2	0.622261	0.78281	0.78281	-0.622261
180.667	309.333	3	10313.4	6703.31	0.280907	-0.959735	-0.959735	-0.280907
188	306	28	33863.2	1330.53	0.434977	0.900442	0.900442	-0.434977
182.667	330.667	40	23177.8	6017.75	0.200957	-0.9796	-0.9796	-0.200957
171	335	14	6007.53	1295.06	0.0400299	0.999198	0.999198	-0.0400299
169.667	332.333	7	11235.2	1350.58	0.801558	0.597917	0.597917	-0.801558
170.333	339.667	9	5324.62	2616.17	0.19756	-0.980291	-0.980291	-0.19756
170	337.333	17	5988.67	2442.02	0.0961977	0.995362	0.995362	-0.0961977
172.333	339.667	5	8799.38	839.047	0.32967	-0.944096	-0.944096	-0.32967
169	345	17	2560.66	1811.38	0.941649	-0.336598	-0.336598	-0.941649
173	334.667	19	5257.75	938.907	0.0181629	-0.999835	-0.999835	-0.0181629
167.667	337	15	3599.38	2676.09	0.970876	0.239584	0.239584	-0.970876
178.333	335.667	20	9974.1	1739.26	0.140325	-0.990106	-0.990106	-0.140325
174.333	332.333	15	3109.93	867.228	0.302793	0.953057	0.953057	-0.302793
175	342.667	6	8607.98	1849.06	0.543063	-0.839692	-0.839692	-0.543063
172.667	341.667	7	7617.59	707.868	0.366476	-0.930428	-0.930428	-0.366476
176.333	337.667	19	7142.38	1111.36	0.125056	-0.99215	-0.99215	-0.125056
177	341.333	9	8046.1	2955.25	0.457651	-0.889132	-0.889132	-0.457651
179	344	2	7428.27	4353.88	0.966555	-0.256459	-0.256459	-0.966555
174	337	19	8410.82	611.572	0.248933	-0.968521	-0.968521	-0.248933
177.333	332.667	15	8694.45	1568.06	0.223212	-0.97477	-0.97477	-0.223212
171	344.333	14	4462.61	962.224	0.31331	-0.949651	-0.949651	-0.31331
168.333	351.333	20	5784.34	3026.16	0.0466131	-0.998913	-0.998913	-0.0466131
171	349.667	15	4950.4	983.312	0.0270011	-0.999635	-0.999635	-0.0270011
171	353.333	14	9718.8	2530.46	0.671215	-0.741263	-0.741263	-0.671215
170.667	351.667	18	4922.69	2945.73	0.153902	-0.988086	-0.988086	-0.153902
172.667	354.333	8	9378.64	1742.98	0.462497	-0.886621	-0.886621	-0.462497
167.333	354	28	5727.39	2668.81	0.318467	-0.947934	-0.947934	-0.318467
173.333	349	19	5332.21	3498.73	0.990035	-0.140824	-0.140824	-0.990035
169	347.667	10	2984.24	1697.21	0.61245	0.79051	0.79051	-0.61245
179	348.667	2	9846.87	2098.31	0.991058	-0.13343	-0.13343	-0.991058
178.333	346.667	5	11772.6	1649.11	0.992419	-0.122899	-0.122899	-0.992419
177.333	350.667	17	6104.58	3627.87	0.916692	-0.399595	-0.399595	-0.916692
175.333	351	20	5499.7	4799.92	0.2095	-0.977809	-0.977809	-0.2095
176	355	11	8722.81	638.448	0.115183	0.993344	0.993344	-0.115183
174.333	353.667	7	6950.52	316.748	0.0723937	-0.997376	-0.997376	-0.0723937
177.667	353.333	14	8335.47	1506.53	0.00476254	0.999989	0.999989	-0.00476254
176.333	356.667	19	8487.49	1106.68	0.356719	0.934212	0.934212	-0.356719
179.333	354.333	11	13524.6	1546.57	0.0296413	-0.999561	-0.999561	-0.0296413
173.333	346.333	20	5372.34	3259.12	0.98746	-0.15787	-0.15787	-0.98746
175.667	345.667	17	7940.6	3455.24	0.961871	-0.273503	-0.273503	-0.961871
169	355.333	26	9258.71	1663.46	0.755863	-0.65473	-0.65473	-0.755863
181	336.667	17	9268.12	3616.86	0.209147	-0.977884	-0.977884	-0.209147
168.667	340.667	11	5250.07	1739.06	0.960919	0.276829	0.276829	-0.960919
184.667	340.333	2	6348.14	2065.25	0.609844	0.792521	0.792521	-0.609844
183	334.333	19	17341.6	6502.68	0.341897	0.939737	0.939737	-0.341897
183.333	345.667	19	8945.24	4111.18	0.340043	0.94041	0.94041	-0.340043
181.333	343.333	6	7760.36	4113.74	0.3964	0.918078	0.918078	-0.3964
186.333	345	20	9013.88	140.308	0.228432	0.97356	0.97356	-0.228432
183	347.333	17	8514.67	4313.06	0.316389	0.94863	0.94863	-0.316389
185.667	335.333	5	16561.6	2551.49	0.551393	0.834246	0.834246	-0.551393
182	340	5	7456.69	1924.38	0.345394	0.938458	0.938458	-0.345394
190.667	337.333	13	12547.3	1959.95	0.341654	0.939826	0.939826	-0.341654
188.667	333.667	1	16577.3	5986.86	0.496749	0.867894	0.867894	-0.496749
192	341.333	23	4224.56	1032.41	0.758879	0.651231	0.651231	-0.758879
188.667	338.667	13	7029.44	834.071	0.733094	0.680128	0.680128	-0.733094
189.667	343.333	19	3200.7	850.297	0.501268	0.865292	0.865292	-0.501268
189.667	341.333	18	5197.45	940.128	0.788905	0.614515	0.614515	-0.788905
191.333	345.667	15	3773.17	212.546	0.138967	0.990297	0.990297	-0.138967
187	343	14	6221.86	782.342	0.409319	0.912391	0.912391	-0.409319
191.333	335	6	12514.9	4766.06	0.0665905	0.99778	0.99778	-0.0665905
186.333	338	5	5711.63	1474.49	0.768845	0.639436	0.639436	-0.768845
183.667	332	36	22990.2	10066.5	0.0307966	-0.999526	-0.999526	-0.0307966
188.333	346.667	13	7171.87	371.724	0.318232	0.948013	0.948013	-0.318232
184.667	350	5	5980.35	1345.34	0.528031	0.849225	0.849225	-0.528031
185	348.333	9	9312.99	1561.14	0.377673	0.925939	0.925939	-0.377673
183	355	11	12627.4	1061.7	0.196608	-0.980482	-0.980482	-0.196608
181.333	353	10	9815.56	1140.31	0.143946	-0.989586	-0.989586	-0.143946
186	352.667	11	5508.16	494.945	0.72543	0.688296	0.688296	-0.72543
185	355	9	6152.18	2144.17	0.145182	-0.989405	-0.989405	-0.145182
188	353.333	11	8099.39	710.599	0.638678	0.769474	0.769474	-0.638678
182	350.333	6	5341.23	1544.46	0.00173116	-0.999999	-0.999999	-0.00173116
190.667	349	23	5062.53	1073.35	0.255593	0.966784	0.966784	-0.255593
190.667	347	14	4965.38	362.947	0.369453	0.929249	0.929249	-0.369453
191.333	350	22	5345.67	643.678	0.0575773	-0.998341	-0.998341	-0.0575773
189	349.667	18	4979.18	1717.64	0.671545	0.740964	0.740964	-0.671545
191.333	353	14	9050.46	652.596	0.319618	0.947547	0.947547	-0.319618
190.667	352	15	6269.83	1193.22	0.138591	0.99035	0.99035	-0.138591
192.667	353	18	10471.6	551.433	0.23398	0.972241	0.972241	-0.23398
189	356.333	22	6698.06	2515.61	0.333418	0.942779	0.942779	-0.333418
193	349.667	24	6128.51	920.085	0.268924	0.963161	0.963161	-0.268924
189	351.667	14	6280.75	1810.94	0.563469	0.826137	0.826137	-0.563469
187.333	348.333	7	8251.75	1240.47	0.509478	0.860484	0.860484	-0.509478
190.667	355.667	26	8478.94	2256.43	0.268746	0.963211	0.963211	-0.268746
193	346.667	17	3784.7	342.129	0.10337	0.994643	0.994643	-0.10337
181	348.667	7	6027.68	4705.71	0.738032	-0.674766	-0.674766	-0.738032
188.333	331.333	9	17201.9	7887.71	0.599445	0.800416	0.800416	-0.599445
180	357.333	28	18085.7	1546.53	0.155017	0.987912	0.987912	-0.155017
191.333	327.667	10	72082.6	8974.38	0.00369123	-0.999993	-0.999993	-0.00369123
169.667	328	9	17349.6	2228.71	0.90798	0.419013	0.419013	-0.90798
169.333	305	23	9059.89	2838.89	0.403884	0.91481	0.91481	-0.403884
171.667	356.333	18	7389.86	2582.01	0.544306	-0.838887	-0.838887	-0.544306
192.333	286.333	20	20961.5	10785.2	0.858128	-0.513435	-0.513435	-0.858128
137.333	310	1	2129.99	104.496	0.126188	0.992006	0.992006	-0.126188
196.333	256	14	3288.42	1343.66	0.28154	-0.95955	-0.95955	-0.28154
196	253.667	7	2953.28	853.467	0.107353	0.994221	0.994221	-0.107353
196	262.667	36	7147.88	3160.3	0.0300869	0.999547	0.999547	-0.0300869
195.667	258	19	6131.78	1193.01	0.112084	-0.993699	-0.993699	-0.112084
197	260.333	24	6692.08	2648.33	0.421403	-0.906873	-0.906873	-0.421403
193.667	263.667	41	7863.75	2430.1	0.406518	0.913643	0.913643	-0.406518
198.333	255.667	15	4704.72	1508.07	0.101428	-0.994843	-0.994843	-0.101428
193.667	267	28	9545.51	1173.07	0.844697	0.535245	0.535245	-0.844697
201	258.667	11	5886.06	658.995	0.363153	-0.93173	-0.93173	-0.363153
201.667	254.667	17	10471.1	1431.08	0.171233	0.985231	0.985231	-0.171233
200.667	262.667	19	5283.53	4244.08	0.90055	-0.434753	-0.434753	-0.90055
199.667	260.333	17	6317.34	1012.94	0.684373	-0.729132	-0.729132	-0.684373
202.667	264.333	18	7537.52	2266.07	0.548236	0.836324	0.836324	-0.548236
198	264	30	6175.55	3597.56	0.833571	0.552412	0.552412	-0.833571
203.667	258	6	6943.38	2014.11	0.0166889	0.999861	0.999861	-0.0166889
200	256.333	14	6020.77	1026.09	0.275944	-0.961174	-0.961174	-0.275944
191	254.667	11	14373.6	3792.25	0.948896	0.315588	0.315588	-0.948896
198.333	266	27	6732.69	3879.37	0.875905	0.482483	0.482483	-0.875905
198	275.667	34	12239.3	4816.67	0.846828	0.531868	0.531868	-0.846828
196.333	267.333	30	4941.47	3198.03	0.992154	-0.125024	-0.125024	-0.992154
195.333	281	18	36045.7	4599.87	0.311815	0.950143	0.950143	-0.311815
193.333	280	13	20287.9	4846.36	0.342064	0.939677	0.939677	-0.342064
196.667	281	20	50347.5	5802.03	0.192368	-0.981323	-0.981323	-0.192368
195.667	284	48	30249.7	11601.9	0.382522	0.923946	0.923946	-0.382522
198.333	270.333	32	8313.8	1053.68	0.977249	-0.212095	-0.212095	-0.977249
196.333	271.667	32	5412.94	1407.65	0.997879	0.0650956	0.0650956	-0.997879
202.667	270.667	14	6015.56	4392.2	0.0761191	-0.997099	-0.997099	-0.0761191
196.333	277.333	31	11720.9	5106.45	0.529245	0.848469	0.848469	-0.529245
200.667	267	10	6147.43	5592.43	0.975754	0.218872	0.218872	-0.975754
201.667	276.667	14	24524.1	2343.85	0.834529	0.550964	0.550964	-0.834529
200.667	279.333	1	35248.2	3276.94	0.803812	0.594883	0.594883	-0.803812
198.333	278.667	26	19458.7	5521.43	0.702306	0.711875	0.711875	-0.702306
202.333	279	7	39221.6	962.763	0.811362	0.584543	0.584543	-0.811362
197.667	280.333	19	37063.3	9730.14	0.332438	-0.943125	-0.943125	-0.332438
203.667	268.333	19	8631.46	1515.51	0.237393	0.971414	0.971414	-0.237393
200.667	270	22	8191.27	3547.02	0.911026	-0.412348	-0.412348	-0.911026
202.333	266.667	6	8823.11	2353.78	0.53488	0.844928	0.844928	-0.53488
201	281	10	38936.2	10569.3	0.717862	0.696186	0.696186	-0.717862
204.667	264	18	4949.54	2049.81	0.1992	0.979959	0.979959	-0.1992
194.333	282.667	32	38131.9	11205.5	0.52698	0.849878	0.849878	-0.52698
206.333	255	18	7217.49	3343.47	0.195177	0.980768	0.980768	-0.195177
207.333	253.667	11	6735.27	2053.56	0.252736	-0.967535	-0.967535	-0.252736
207	258.667	7	10438.2	1796.35	0.459368	0.888246	0.888246	-0.459368
207.333	261.333	13	7314.23	1900.94	0.420235	0.907415	0.907415	-0.420235
205.333	267	18	5997.32	1447.17	0.33923	0.940703	0.940703	-0.33923
205	259.333	3	9563.18	1785.07	0.203019	0.979175	0.979175	-0.203019
207.667	256.667	6	7519.43	1698.99	0.7201	0.693871	0.693871	-0.7201
205.333	262	17	6987.53	1341.38	0.0149392	0.999888	0.999888	-0.0149392
215.333	257.333	35	29499.2	5739.4	0.950967	0.309292	0.309292	-0.950967
209.667	254.667	7	11546.9	2722.97	0.69989	0.714251	0.714251	-0.69989
219.333	254.667	65	54441.6	5647.3	0.752374	0.658737	0.658737	-0.752374
219	257	67	23184.3	8670.14	0.978531	0.2061	0.2061	-0.978531
215.333	260	36	21846.6	6564.14	0.999698	0.0245705	0.0245705	-0.999698
212.333	260	24	17492.7	4887.19	0.921703	0.387896	0.387896	-0.921703
221.667	258.667	67	10228.6	6219.82	0.80397	-0.594669	-0.594669	-0.80397
210.667	262.333	26	11057.5	2283.39	0.998065	-0.0621854	-0.0621854	-0.998065
224.333	257	74	28057.2	1054.86	0.187333	0.982296	0.982296	-0.187333
209.667	257	6	14179.8	1058.29	0.75443	0.65638	0.65638	-0.75443
213.333	254.667	14	25398.4	4537.9	0.841598	0.540105	0.540105	-0.841598
219.333	261.333	58	17863.8	927.024	0.965729	-0.259551	-0.259551	-0.965729
207.667	271.333	10	13410.9	1511.26	0.297173	0.954824	0.954824	-0.297173
207.667	267.333	22	5796.58	925.72	0.129861	-0.991532	-0.991532	-0.129861
206.333	279.667	41	36053	3454.83	0.592703	0.805421	0.805421	-0.592703
204	276.333	17	22165	3708.72	0.782568	0.622566	0.622566	-0.782568
213	278.333	54	89176.9	6437.27	0.922396	0.386247	0.386247	-0.922396
205	281.333	41	43229.8	4197.24	0.72434	0.689443	0.689443	-0.72434
212	272.333	19	53551.3	4514.16	0.78721	0.616686	0.616686	-0.78721
204.333	273.333	11	12123.9	3781.21	0.516887	0.856054	0.856054	-0.516887
220	266.333	64	34345.9	6201.26	0.874234	0.485504	0.485504	-0.874234
221.333	263.667	64	15218.2	5951.72	0.8595	0.511137	0.511137	-0.8595
222.667	271.667	109	25595.5	8849.89	0.663685	0.748012	0.748012	-0.663685
216.333	270	37	65464.9	3197.18	0.845597	0.533822	0.533822	-0.845597
219	275.333	108	101673	9451.12	0.853403	0.521251	0.521251	-0.853403
214	275.667	47	103954	3771.97	0.860815	0.508919	0.508919	-0.860815
220	272.333	91	70176.5	8264.38	0.80481	0.593533	0.593533	-0.80481
216.333	281.333	108	121576	5790.68	0.972217	0.234082	0.234082	-0.972217
221.333	278	142	61543.9	10693.1	0.889495	0.456946	0.456946	-0.889495
215.667	267	39	25685.1	6056.45	0.951	0.30919	0.30919	-0.951
211.333	265.333	26	10371.7	2573.42	0.938094	-0.346381	-0.346381	-0.938094
219.667	281.333	145	95573.8	5017.16	0.972805	0.231628	0.231628	-0.972805
225.667	263	71	25078.3	127.358	0.595677	0.803224	0.803224	-0.595677
204.333	255.667	19	8884.29	2302.01	0.0158695	-0.999874	-0.999874	-0.0158695
203.333	254.667	20	11784.1	1845.08	0.0903652	0.995909	0.995909	-0.0903652
211.333	280.333	56	46458.4	10098.3	0.887746	0.460334	0.460334	-0.887746
195	285.667	40	22806.4	15514.8	0.498319	-0.866994	-0.866994	-0.498319
199	283.333	37	50134	12193.9	0.137506	-0.990501	-0.990501	-0.137506
193.333	292.667	37	61859.3	4882.39	0.172205	0.985061	0.985061	-0.172205
195.333	288	19	34628.8	11167.6	0.0659152	0.997825	0.997825	-0.0659152
195.333	294	36	41018.6	6358.77	0.364276	0.931291	0.931291	-0.364276
193.667	296.333	14	55287.4	6688.08	0.264663	0.964341	0.964341	-0.264663
197.667	288.667	32	26680.4	10553.3	0.469264	0.883058	0.883058	-0.469264
